transferId,plugin,srcAbstractTokenId,srcValueUsd,duration
T-1fd7a522-8225-40a4-b582-5cd2feda617f,across,MOCK02:ethereum:ETH,2.0917888,8
T-81a182d2-640c-4975-9f1f-e6e9335dfb3b,across,MOCK02:ethereum:ETH,1.1473497,2
T-860659f6-8996-4d4d-a105-45db560a912e,across,MOCK02:ethereum:ETH,854.1788,10
T-f9b00874-560f-4079-a0cf-68a109e69d4c,across,MOCK01:circle:USDC,54.70072,10
T-5986e00f-6e13-47f1-8c35-b2523c16e0b6,across,MOCK02:ethereum:ETH,13.080495,0
T-a41d33e9-4c54-44fc-81c6-396d3e917e43,across,MOCK01:circle:USDC,1103.9105,16
T-0cdd3701-d5e7-46ad-b964-a59488b7854a,across,MOCK02:ethereum:ETH,1.3703198,2
T-aff209fa-ba41-49d0-b05d-066c47f3b103,across,MOCK02:ethereum:ETH,0.95158833,1
T-eccb488f-a383-40d7-93f7-20b066efcbdb,across,MOCK02:ethereum:ETH,27.65664,22
T-73102ad3-c053-4538-8772-60cdd1ecbc22,across,MOCK02:ethereum:ETH,1.766952,22
T-83b45934-7306-43fb-8dbe-2ea91cc15a78,across,MOCK02:ethereum:ETH,11.64474,6
T-2a00a41d-fee4-4e93-bf05-0d394970e2c4,across,MOCK02:ethereum:ETH,0.7180923,6
T-cd4095ab-66f4-40a9-af10-cead63aa7f62,across,MOCK02:ethereum:ETH,0.774707,0
T-6fb97333-97ab-400d-a6c9-6e5e66de30e9,across,MOCK01:circle:USDC,13.986958,1
T-50bbb4da-ca48-44eb-b32c-8fe592500dc9,across,MOCK01:circle:USDC,24.9958,1
T-5534cda9-ad85-4c1e-afe7-ca19e3612d2b,across,MOCK02:ethereum:ETH,8214.23,0
T-a7496b27-9e69-47f5-9639-3bdd16174f8d,across,MOCK01:circle:USDC,45.93756,2
T-e9c06d71-ad59-4850-b7aa-1f0a7e0bafda,across,MOCK02:ethereum:ETH,33.436977,10
T-8f337661-71d5-495b-81f1-9216ab069369,across,MOCK02:ethereum:ETH,106.90306,0
T-17f6ed79-732f-4c05-8eab-6b148d998bfe,across,MOCK02:ethereum:ETH,8.329192,3
T-05179da4-4f0d-4404-8de2-992ab6349c3f,across,MOCK01:circle:USDC,337.48315,0
T-ac1b0848-620d-4d4f-ac45-48e23f822e9e,across,MOCK02:ethereum:ETH,1.9148077,0
T-750af578-11a7-4c62-9244-5d08fc9aaa6c,across,MOCK02:ethereum:ETH,34.93422,10
T-d74c1e1b-f6f1-4b9a-8aae-a10f400469fe,across,MOCK01:circle:USDC,144.7017,14
T-083b16cc-9c71-41bd-ac94-e2e93d51690f,across,MOCK02:ethereum:ETH,1.15236,19
T-9e3c65ef-bc7a-4b84-98ce-35d19c4636e7,across,MOCK02:ethereum:ETH,235.82834,6
T-9457e520-199b-438c-ae42-9d4cef91a477,across,MOCK03:tether:USDT,36.01623,0
T-58a7dd5d-c029-4cdd-a934-4146cdde7179,across,MOCK02:ethereum:ETH,2.6669166,6
T-633a4cb3-41a9-4224-9f11-4150db1af91f,across,MOCK02:ethereum:ETH,1.126011,2
T-cc0eff47-42e2-445e-8f48-b881fc8fda55,across,MOCK02:ethereum:ETH,312.61856,2
T-4e22352e-e8fd-4199-8672-5a5a440d353c,across,MOCK02:ethereum:ETH,7.5211577,3
T-266e8120-579b-44cf-b6f8-13d681df1dfb,across,MOCK02:ethereum:ETH,62.030403,2
T-49e20381-b129-423a-93e7-7888286577ed,across,MOCK02:ethereum:ETH,68.28711,10
T-4565801f-16d0-434f-b39c-adc45974a1a2,across,MOCK01:circle:USDC,501.37784,22
T-9cda2780-a516-4642-ba7c-30e6342e2635,across,MOCK02:ethereum:ETH,3.87096,2
T-2f014c62-1a15-456d-ad23-cd623ebabed4,across,MOCK02:ethereum:ETH,38.8158,8
